term,source,definition,langue,auto_definition,definition_finale,valide_auto
stages of teaching and learning,keyword,,en,The second part identifies the tasks the teacher and student have to accomplish at the different stages of teaching and learning that we have identified,Stages of teaching and learning refers to The second part identifies the tasks the teacher and student have to accomplish at the different stages of teaching and learning that we have identified.,oui
foreign languages,keyword,,fr,,"Foreign languages est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
pleasure,keyword,,fr,Second language class planning : means of promoting the feeling of pleasure,Pleasure refers to Second language class planning : means of promoting the feeling of pleasure.,oui
class planning,keyword,,en,Second language class planning : means of promoting the feeling of pleasure,Class planning refers to Second language class planning : means of promoting the feeling of pleasure.,oui
didactic strategies,keyword,,fr,Each stage is illustrated with didactic strategies derived from our experience as teachers,Didactic strategies refers to Each stage is illustrated with didactic strategies derived from our experience as teachers.,oui
external conditions of learning,keyword,,en,,"External conditions of learning is a concept used in the fields of linguistics, translation, or education.",non
acquisition of l2 pronunciation,keyword,,fr,Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,Acquisition of l2 pronunciation refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,oui
corrective gestures,keyword,,fr,Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,Corrective gestures refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,oui
experimental didactics,keyword,,fr,,"Experimental didactics est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
gestes correctifs,keyword,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Gestes correctifs refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
acquisition de la prononciation en l2,keyword,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Acquisition de la prononciation en l2 refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui
didactique expérimentale,keyword,,fr,,"Didactique expérimentale est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
voicing periodicity assimilation pronunciation l2 acquisition,keyword,,fr,,"Voicing periodicity assimilation pronunciation l2 acquisition est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
mots-clés  analyse comparative,keyword,,fr,,"Mots-clés  analyse comparative est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
surréalisme,keyword,,fr,,"Surréalisme est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
traduction littéraire,keyword,,fr,,"Traduction littéraire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
julio cortázar,keyword,,es,Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar,Julio cortázar refers to Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar.,oui
interlanguage,keyword,,fr,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Interlanguage refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui
prosody,keyword,,fr,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Prosody refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui
contrastive analysis,keyword,,en,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Contrastive analysis refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui
english,keyword,,fr,It focuses on the teaching of english and spanish as a foreign language in the french university system,English refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
french,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,French refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
spanish,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,Spanish refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
