term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
stages of teaching and learning,keyword,,en,The second part identifies the tasks the teacher and student have to accomplish at the different stages of teaching and learning that we have identified,Stages of teaching and learning refers to The second part identifies the tasks the teacher and student have to accomplish at the different stages of teaching and learning that we have identified.,oui,Stages of teaching and learning refers to The second part identifies the tasks the teacher and student have to accomplish at the different stages of teaching and learning that we have identified.
foreign languages,keyword,,fr,,,non,"Foreign languages est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
pleasure,keyword,,fr,Second language class planning : means of promoting the feeling of pleasure,Pleasure refers to Second language class planning : means of promoting the feeling of pleasure.,oui,Pleasure refers to Second language class planning : means of promoting the feeling of pleasure.
class planning,keyword,,en,Second language class planning : means of promoting the feeling of pleasure,Class planning refers to Second language class planning : means of promoting the feeling of pleasure.,oui,Class planning refers to Second language class planning : means of promoting the feeling of pleasure.
didactic strategies,keyword,,fr,Each stage is illustrated with didactic strategies derived from our experience as teachers,Didactic strategies refers to Each stage is illustrated with didactic strategies derived from our experience as teachers.,oui,Didactic strategies refers to Each stage is illustrated with didactic strategies derived from our experience as teachers.
external conditions of learning,keyword,,en,,,non,"External conditions of learning is a concept used in the fields of linguistics, translation, or education."
voicing periodicity assimilation pronunciation l2 acquisition,keyword,,fr,,,non,"Voicing periodicity assimilation pronunciation l2 acquisition est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
mots-clés  analyse comparative,keyword,,fr,,,non,"Mots-clés  analyse comparative est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
surréalisme,keyword,,fr,,,non,"Surréalisme est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
traduction littéraire,keyword,,fr,,,non,"Traduction littéraire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
julio cortázar,keyword,,es,Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar,Julio cortázar refers to Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar.,oui,Julio cortázar refers to Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar.
acquisition of l2 pronunciation,keyword,,fr,Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,Acquisition of l2 pronunciation refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,oui,Acquisition of l2 pronunciation refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.
corrective gestures,keyword,,fr,Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,Corrective gestures refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.,oui,Corrective gestures refers to Studying the impact of congruent and incongruent corrective gestures on the acquisition of l2 pronunciation.
experimental didactics,keyword,,fr,,,non,"Experimental didactics est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
